model,split,n,accuracy,precision,recall,f1_macro,roc_auc
logistic_regression,val,299,0.4415,0.4506,0.3795,0.3535,0.5927
logistic_regression,test,301,0.4452,0.3875,0.3764,0.3345,0.5708
elastic_net,val,299,0.4548,0.6394,0.3743,0.3049,0.5592
elastic_net,test,301,0.4452,0.2937,0.3648,0.284,0.5582
decision_tree,val,299,0.4214,0.3673,0.374,0.3653,0.5585
decision_tree,test,301,0.3787,0.3257,0.3323,0.3194,0.5273
random_forest,val,299,0.4114,0.3735,0.3658,0.3576,0.5621
random_forest,test,301,0.3654,0.3306,0.3262,0.3187,0.504
gradient_boosting,val,299,0.4214,0.415,0.3855,0.3861,0.5643
gradient_boosting,test,301,0.3721,0.3407,0.3312,0.3233,0.5299
xgboost,val,299,0.2943,0.2946,0.2886,0.2869,0.4674
xgboost,test,301,0.2924,0.2957,0.3015,0.2909,0.4999
svm_rbf,val,299,0.4415,0.4462,0.3657,0.2868,0.5906
svm_rbf,test,301,0.4086,0.3418,0.3338,0.2439,0.5357
svm_linear,val,299,0.4381,0.2738,0.356,0.2719,0.5895
svm_linear,test,301,0.4219,0.2885,0.3453,0.2661,0.54990000000000006
naive_bayes,val,299,0.4247,0.3686,0.3485,0.271,0.5851
naive_bayes,test,301,0.392,0.259,0.319,0.2342,0.5396
lda,val,299,0.4448,0.4307,0.3778,0.3426,0.6004
lda,test,301,0.4419,0.3565,0.3718,0.3257,0.5714
mlp,val,299,0.3545,0.3386,0.3383,0.3377,0.4992
mlp,test,301,0.412,0.3792,0.3794,0.3783,0.5429
